Scenario_ID;Source;Destination;Demand_Mbps;Status;Mean_Cost;Std_Dev;Best_Cost;Worst_Cost;Avg_Time_Sec;Best_Path_Found
1;8;44;200;SUCCESS;17.4703;13.0997;4.3706;30.57;0.037;[8, 23, 44]
2;24;221;172;SUCCESS;10.0285;1.8308;7.9608;12.3619;0.0222;[24, 175, 221]
3;32;42;162;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
4;37;208;124;SUCCESS;6.604;1.6613;4.6845;9.1932;0.0275;[37, 112, 208]
5;51;124;94;SUCCESS;3.4095;1.4498;2.6846;6.3092;0.0221;[51, 124]
6;53;19;57;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
7;58;106;115;SUCCESS;8.58;1.2882;6.8041;10.0161;0.0309;[58, 103, 106]
8;64;237;98;SUCCESS;4.5564;2.1968;3.458;8.95;0.0144;[64, 237]
9;77;67;135;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
10;82;39;19;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
11;85;180;24;SUCCESS;7.0953;3.2957;5.057;13.6742;0.0224;[85, 177, 180]
12;87;193;98;SUCCESS;5.2828;0.0;5.2828;5.2828;0.0117;[87, 193]
13;94;68;115;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
14;97;7;45;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
15;98;70;144;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
16;103;242;189;SUCCESS;6.6071;4.0538;2.1983;12.9495;0.0138;[103, 242]
17;108;129;84;SUCCESS;6.6587;0.3028;6.2892;7.0309;0.0236;[108, 119, 129]
18;142;136;82;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
19;155;81;59;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
20;159;177;47;SUCCESS;7.5747;0.7205;7.1587;8.8227;0.0175;[159, 169, 177]
21;180;225;169;SUCCESS;5.6888;0.8398;5.2689;7.3683;0.0091;[180, 225]
22;187;189;174;SUCCESS;3.039;0.0;3.039;3.039;0.0083;[187, 189]
23;189;128;18;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
24;196;143;191;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
25;212;75;148;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
26;224;27;32;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
27;235;139;190;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
28;245;94;33;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
29;246;144;119;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
30;248;189;21;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
